tconst,genre_id
tt0040723,12
tt0040724,9
tt0040724,28
tt0040725,9
tt0040725,16
tt0040725,21
tt0040737,7
tt0040737,9
tt0040746,7
tt0040746,9
tt0040746,18
tt0040765,9
tt0040765,27
tt0040766,9
tt0040766,12
tt0040766,18
tt0040806,9
tt0040806,18
tt0040823,9
tt0040823,12
tt0040823,18
tt0040866,9
tt0040872,7
tt0040872,9
tt0040872,12
tt0040876,1
tt0040876,3
tt0040876,9
tt0040897,3
tt0040897,9
tt0040897,28
tt0040919,6
tt0040919,16
tt0040919,21
tt0040978,7
tt0040978,9
tt0040978,28
tt0040979,7
tt0040979,9
tt0040979,21
tt0041088,9
tt0041088,12
tt0041088,26
tt0041090,6
tt0041090,21
tt0041094,4
tt0041094,6
tt0041094,10
tt0041113,9
tt0041113,12
tt0041154,6
tt0041154,9
tt0041163,1
tt0041163,9
tt0041163,14
tt0041178,7
tt0041178,12
tt0041178,21
tt0041239,9
tt0041239,12
tt0041239,24
tt0041268,7
tt0041268,9
tt0041268,12
tt0041386,9
tt0041386,21
tt0041452,9
tt0041452,21
tt0041473,6
tt0041473,9
tt0041473,10
tt0041498,6
tt0041498,21
tt0041498,27
tt0041503,7
tt0041503,9
tt0041503,12
tt0041546,6
tt0041546,7
tt0041587,6
tt0041587,9
tt0041587,21
tt0041594,9
tt0041594,10
tt0041594,21
tt0041650,3
tt0041650,9
tt0041650,11
tt0041699,7
tt0041699,9
tt0041699,18
tt0041716,6
tt0041716,17
tt0041716,21
tt0041719,9
tt0041719,11
tt0041719,21
tt0041737,6
tt0041786,7
tt0041786,9
tt0041786,12
tt0041838,9
tt0041838,10
tt0041838,14
tt0041841,1
tt0041841,9
tt0041841,21
tt0041859,7
tt0041859,12
tt0041859,24
tt0041866,9
tt0041866,28
tt0041931,9
tt0041958,7
tt0041958,9
tt0041958,12
tt0041959,9
tt0041959,12
tt0041959,18
tt0041968,7
tt0041968,9
tt0041968,12
tt0041996,9
tt0041996,27
tt0042004,7
tt0042004,9
tt0042004,21
tt0042039,7
tt0042039,9
tt0042039,12
tt0042040,6
tt0042040,7
tt0042041,1
tt0042041,7
tt0042041,9
tt0042046,9
tt0042046,12
tt0042046,26
tt0042114,6
tt0042114,10
tt0042192,9
tt0042200,6
tt0042200,17
tt0042200,21
tt0042208,7
tt0042208,9
tt0042208,12
tt0042276,6
tt0042276,9
tt0042276,21
tt0042281,7
tt0042281,9
tt0042281,12
tt0042286,9
tt0042286,21
tt0042286,28
tt0042296,7
tt0042296,9
tt0042296,12
tt0042327,6
tt0042327,9
tt0042327,10
tt0042332,4
tt0042332,10
tt0042332,11
tt0042369,7
tt0042369,9
tt0042369,12
tt0042384,8
tt0042384,23
tt0042384,24
tt0042393,3
tt0042393,9
tt0042393,22
tt0042451,6
tt0042451,9
tt0042451,21
tt0042530,7
tt0042530,9
tt0042530,12
tt0042531,28
tt0042546,6
tt0042546,9
tt0042546,11
tt0042593,9
tt0042593,12
tt0042593,18
tt0042619,9
tt0042646,1
tt0042646,3
tt0042646,21
tt0042727,9
tt0042788,7
tt0042788,12
tt0042788,24
tt0042792,7
tt0042792,9
tt0042792,12
tt0042804,7
tt0042804,9
tt0042832,7
tt0042832,9
tt0042832,12
tt0042871,4
tt0042871,6
tt0042871,10
tt0042876,7
tt0042876,9
tt0042876,18
tt0042895,9
tt0042895,21
tt0042895,28
tt0042906,9
tt0042906,21
tt0042958,9
tt0042994,12
tt0042994,18
tt0042994,26
tt0043012,6
tt0043012,17
tt0043012,21
tt0043014,9
tt0043014,12
tt0043067,3
tt0043067,9
tt0043067,10
tt0043117,9
tt0043117,28
tt0043132,7
tt0043132,9
tt0043132,12
tt0043137,1
tt0043137,9
tt0043137,28
tt0043142,7
tt0043142,9
tt0043142,12
tt0043208,6
tt0043255,6
tt0043255,10
tt0043255,15
tt0043265,3
tt0043265,9
tt0043265,21
tt0043274,3
tt0043274,4
tt0043274,6
tt0043278,9
tt0043278,17
tt0043278,21
tt0043313,6
tt0043313,9
tt0043313,21
tt0043332,9
tt0043338,9
tt0043338,12
tt0043362,9
tt0043379,1
tt0043379,3
tt0043379,9
tt0043386,7
tt0043386,9
tt0043386,21
tt0043456,9
tt0043456,22
tt0043461,5
tt0043461,9
tt0043461,27
tt0043465,7
tt0043465,9
tt0043465,12
tt0043503,7
tt0043503,12
tt0043503,26
tt0043511,9
tt0043547,1
tt0043547,9
tt0043547,27
tt0043548,8
tt0043548,23
tt0043614,9
tt0043614,21
tt0043643,1
tt0043643,7
tt0043643,12
tt0043686,9
tt0043686,27
tt0043809,6
tt0043809,9
tt0043809,11
tt0043879,9
